Designator,Mid X,Mid Y,Layer,Rotation,Val,Package
C1,28.956,19.05,top,90,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder
C2,19.304,13.8695,top,270,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder
C3,26.7705,19.558,top,0,0.1uF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder
C4,21.59,12.7,top,180,0.1uF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder
C5,15.748,10.5675,top,270,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder
C6,15.748,16.51,top,270,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder
C7,14.478,10.668,top,270,0.1uF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder
C8,14.478,16.51,top,270,0.1uF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder
C9,13.462,10.668,top,270,1nF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder
C10,13.462,16.51,top,270,1nF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder
C11,5.588,14.1235,top,270,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder
C12,5.588,8.636,top,270,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder
C13,7.795001,14.102999,top,0,0.1uF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder
C14,7.62,8.382,top,0,0.1uF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder
C15,7.7205,13.208,top,0,1nF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder
C16,7.62,7.366,top,0,1nF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder
C21,28.702,8.636,top,90,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder
C22,19.05,3.556,top,270,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder
C23,26.67,9.144,top,0,0.1uF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder
C24,21.336,2.286,top,180,0.1uF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder
R1,28.448,5.4985,top,270,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder
R2,23.876,9.144,top,0,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder
R3,28.702,15.9125,top,270,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder
R4,24.13,19.558,top,0,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder
U1,9.788,10.709,top,0,DAC8811IBDGKR,SOP65P490X110-8N
U2,9.77,16.439,top,0,DAC8811IBDGKR,SOP65P490X110-8N
U3,23.876,5.588,top,0,OPA2277UA_2K5,SOIC127P599X175-8N
U4,24.13,16.002,top,0,OPA2277UA_2K5,SOIC127P599X175-8N
U5,8.382,3.556,top,0,OPA2277UA_2K5,SOIC127P599X175-8N
