Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,28.956,19.05,90,top
C2,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,19.304,13.8695,270,top
C3,0.1uF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,26.7705,19.558,0,top
C4,0.1uF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,21.59,12.7,180,top
C5,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,15.748,10.5675,270,top
C6,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,15.748,16.51,270,top
C7,0.1uF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,14.478,10.668,270,top
C8,0.1uF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,14.478,16.51,270,top
C9,1nF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,13.462,10.668,270,top
C10,1nF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,13.462,16.51,270,top
C11,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,5.588,14.1235,270,top
C12,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,5.588,8.636,270,top
C13,0.1uF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,7.795001,14.102999,0,top
C14,0.1uF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,7.62,8.382,0,top
C15,1nF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,7.7205,13.208,0,top
C16,1nF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,7.62,7.366,0,top
C21,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,28.702,8.636,90,top
C22,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,19.05,3.556,270,top
C23,0.1uF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,26.67,9.144,0,top
C24,0.1uF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,21.336,2.286,180,top
J1,Conn_01x07,PinSocket_1x07_P2.54mm_Vertical,2.286,17.526,0,top
J2,Screw_Terminal_01x03,"TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",30.48,26.924,180,top
J3,Jack-DC,BarrelJack_Horizontal,14.478,27.178,0,top
J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,32.004,8.636,0,top
J5,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,32.004,19.05,0,top
R1,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,28.448,5.4985,270,top
R2,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,23.876,9.144,0,top
R3,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,28.702,15.9125,270,top
R4,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,24.13,19.558,0,top
U1,DAC8811IBDGKR,SOP65P490X110-8N,9.788,10.709,0,top
U2,DAC8811IBDGKR,SOP65P490X110-8N,9.77,16.439,0,top
U3,OPA2277UA_2K5,SOIC127P599X175-8N,23.876,5.588,0,top
U4,OPA2277UA_2K5,SOIC127P599X175-8N,24.13,16.002,0,top
U5,OPA2277UA_2K5,SOIC127P599X175-8N,8.382,3.556,0,top
